feature,auroc,mutual_info
PPCs severity,1.0,0.5342916901357389
Operation duration,0.6868465092127208,0.047103163260595826
OpDur_log,0.6868465092127208,0.04671686108451567
ASA physical status classification,0.623122250223651,0.03564928413126078
Age,0.6224477701236358,0.01870125373528997
Sex_bin,0.6204765385342617,0.001639867493126168
Height,0.6058736210550675,0.02056206421206408
FEV1/FVC,0.6044202434336964,0.01628176177883578
Intraoperative input,0.6009137935413591,0.007683399336742225
NPAR,0.598500198957519,0.007813116800586828
NPAR_log,0.5984980823881675,0.00672769963710107
ALI,0.5905355484877817,0.01237973731572195
ALI_log,0.5905355484877817,0.012764153744321716
LMR,0.5875264923930498,0.0
LMR_log,0.5875116764075892,0.002757808782663851
NLR_log,0.5863941277899911,0.0
NLR,0.5863898946512881,0.0
FVC%pred,0.5854473157667484,0.032375279501447585
FEV1%pred,0.5789861350597014,0.018497711866219513
Neutrophil percentage,0.572718267686759,0.006174712448812958
dNLR,0.5722681439380043,0.001975794097645256
dNLR_log,0.572267438414887,0.002924654287909112
Neutrophil count,0.5709213003073259,0.012540768219223342
Weight,0.5698446720305237,0.0026961487991374877
SII_log,0.568260067109359,0.009268602416458549
SII,0.568260067109359,0.009227388319374308
Surgery_code,0.565321563326344,0.0
Comorbidity_count,0.564738095708444,0.0058727028754115285
Monocyte count,0.5632423867000427,0.008776441915144817
MVV%pred,0.5624550229012804,0.015425876008879902
MEF25%pred,0.5623633048960482,0.0
Albumin,0.5607201415561582,0.0
WBC,0.5535484990701205,0.004266562905905769
GNRI,0.5512626041704882,0.0014597672174956333
Current smoking,0.5431617877391371,0.010831865084586001
MMEF%pred,0.5422029818229024,0.0
Lymphocyte count,0.5410699116967266,0.004244845033696931
MEF50%pred,0.5382795677683174,0.014206136048934281
Triglycerides,0.5313520362808208,0.0
PLR,0.530103260363429,0.0
PLR_log,0.5301025548403119,0.00038763921457629635
Hospital,0.5286893920366194,0.0069272746311428435
AAPR,0.5266370252887707,0.011109090910704111
AAPR_log,0.5266363197656534,0.008618155707945885
Hemoglobin,0.5196325917815023,0.0
Hypertension,0.5194928982043026,0.000928367347643011
Coronary heart disease,0.5188099518268816,0.01930286047196228
Cerebral infarction,0.5177876488301015,0.0
Platelet count,0.516588965054029,0.0
Nerve block,0.5137548786923553,0.0
Chronic lung disease,0.5118161011663709,0.0
Alkaline phosphatase,0.5113892596804828,0.00405290595937835
PCA pump,0.5068097091269292,0.014268007100749935
Intraoperative blood products,0.50642802112054,0.028078222070747616
Malignant tumor history,0.5063137263755584,0.004856175445227651
NMB_reversal,0.5056350131368404,0.0040619598303257565
Glucocorticoids,0.5050169748861991,0.01667212646944516
Anesthesia_balanced,0.5042380773648428,0.0
BMI,0.5025822146088439,0.0010808625432205954
Previous pulmonary surgery,0.5017285316370677,0.0
Dexmedetomidine,0.5016509240941789,0.0
NSAIDs,0.5013792976940683,0.0
Single port,0.500645553652211,0.019236669331859746
Diabetes,0.5003428842349449,0.0
