dataset,feature,observed_mean,imputed_mean,observed_p10,observed_p90,ks_stat
derivation,FVC%pred,87.97514417531718,87.95283010752689,67.43,108.9,0.042649849313539455
derivation,FEV1%pred,93.41729106628242,93.68685525227461,69.44,116.26000000000002,0.05777847698457534
derivation,FEV1/FVC,83.72157348703169,84.01757746898264,71.384,96.92200000000001,0.04981943779006157
derivation,MEF50%pred,81.71099820681411,83.4758458229942,41.32,122.97999999999999,0.07205225601770344
derivation,MEF25%pred,87.54443069306932,89.73995334987593,37.05,145.0,0.07695685821683905
derivation,MMEF%pred,81.67218695903058,82.81930984284533,41.74,122.97999999999999,0.06498377002258021
derivation,MVV%pred,84.26066897347174,84.63061538461538,59.9,109.9,0.051037346773478036
derivation,Triglycerides,1.511379507727533,1.530005922249793,0.72,2.46,0.0493161619848844
derivation,Albumin,39.761917234154005,39.79734822167081,35.9,44.1,0.013418481347983367
external,FVC%pred,104.08089887640449,103.88414780600462,79.9,129.7,0.019630484988452657
external,FEV1%pred,96.12940609951845,96.49655889145497,66.7,123.4,0.021578520086447533
external,FEV1/FVC,73.11621990369181,73.4621334359764,58.41,85.025,0.024476168234115143
external,MEF50%pred,62.62532051282051,64.26099255837825,24.41,101.49,0.032356620477290224
external,MEF25%pred,53.89041429731926,55.116336156017454,19.5,94.1,0.028242683711584678
external,MMEF%pred,57.45748598879103,59.11093918398768,22.36,95.5,0.03322134227782534
external,MVV%pred,82.86388709677419,82.86634077495509,54.78,110.01000000000002,0.014282698850232188
external,Triglycerides,1.3866200466200467,1.3887644341801386,0.7059999999999998,2.32,0.014212115828744005
external,Albumin,40.11073094867807,40.11199127534001,35.55,44.650000000000006,0.002249607007184615
